species,F.BIO.I,LAT.SPR,FLO.ST,FLO.PER,C....,S....,R....,Var.19,LNC.n,LNC.med,LNC.se,LCC.n,LCC.med,LCC.se,CN.n,CN.med,CN.se,LA.n,LA.med,LA.se,LDW.n,LDW.med,LDW.se,LFW.n,LFW.med,LFW.se,SLA.n,SLA.med,SLA.se,LDMC.n,LDMC.med,LDMC.se,KOE.n,KOE.med,KOE.se,CAN.n,CAN.med,CAN.se,Plant.Growth.Form,lnc_cv,lcc_cv,cn_cv,la_cv,ldw_cv,lfw_cv,sla_cv,ldmc.cv,can_cv
Geum.montanum,3-H,3,4,1,29.1,56.25,14.65,S/CSR,3,2.7,0.1,3,50.4,0.1,3,18.5,0.5,10,841,70,10,66,6,10,240,22,10,13,0.05,10,28,1,10,2,0,5,34,3,forb,0.06415003,0.003436609,0.046812184,0.263209793,0.287479787,0.289875452,0.012162606,0.112938488,0.197300116
Geum.reptans,3-H,6,5,1,29.39,70.61,0,S/CS,3,3,0.3,3,47.5,0.2,3,15.8,1.2,10,566,57,10,67,5,10,250,23,10,8,1,10,27,1,10,3,0,5,75,8,forb,0.173205081,0.007292846,0.131548163,0.318462591,0.23599087,0.290929545,0.395284708,0.117121395,0.238513918
Gnaphalium.norvegicum,3-H,2,4,2,17.73,37.59,44.68,SR/CSR,3,1.9,0.05,3,42,0.1,3,21.9,0.2,11,379,36,11,17,2,11,74,9,11,23,1,11,23,0.05,11,1,0,1,200,NA,forb,0.045580284,0.00412393,0.015817816,0.3150356,0.390191152,0.403373285,0.144201078,0.007210054,NA
Gnaphalium.supinum,3-H,4,5,1,0,64.75,35.25,S/SR,3,1.9,0.1,3,47.7,0.3,3,25.6,0.7,5,18,1,5,1,0.05,5,2,0.05,5,25,2,5,37,5,5,1,0,5,12,1,forb,0.091160569,0.010893401,0.047360764,0.124225999,0.111803399,0.055901699,0.178885438,0.302171348,0.186338998
Hieracium.glaciale,3-H,3,5,1,9.6,59.37,31.03,S/SR,3,1.6,0.05,3,46,0.3,3,28.3,0.3,5,122,5,5,8,0.05,5,32,1,5,15,1,5,25,1,5,2,0,5,34,3,forb,0.054126588,0.011295984,0.018360963,0.09164213,0.013975425,0.069877124,0.149071198,0.089442719,0.197300116
Hieracium.glanduliferum,3-H,3,5,1,26.47,0,73.53,R/CR,3,1.8,0.1,3,43.8,0.2,3,24.4,1.2,6,278,18,6,14,1,6,83,6,6,20,1,6,17,0.05,6,3,0,6,77,5,forb,0.096225045,0.007908908,0.085182827,0.158600055,0.174963553,0.177071548,0.122474487,0.007204382,0.159057776
Hieracium.intybaceum,3-H,3,5,1,33.32,12.99,53.69,R/CSR,3,1.9,0.05,3,46.1,0.2,3,24.6,0.5,10,616,58,10,31,4,10,170,22,10,21,0.05,10,18,0.05,10,2,0,5,61,3,forb,0.045580284,0.00751432,0.035204285,0.297746923,0.408035827,0.409235932,0.007529233,0.008784105,0.109970556
Hieracium.pilosella,3-H,5,3,5,32.97,65.38,1.65,S/CS,3,1.3,0.1,3,44.2,0.3,3,33,1.1,13,642,27,13,64,3,13,251,10,13,10,0.05,13,26,1,13,3,0,1,180,NA,forb,0.133234678,0.011756001,0.057735027,0.151635334,0.169010216,0.143647461,0.018027756,0.138675049,NA
Hieracium.staticifolium,3-H,4,5,1,40.44,0,59.56,CR,3,1.6,0.05,3,45.1,0.1,3,28.7,0.2,10,401,34,10,25,2,10,171,18,10,16,0.05,10,15,0.05,10,4,0,5,64,7,forb,0.054126588,0.003840467,0.01207004,0.268123293,0.252982213,0.332871333,0.009882118,0.010540926,0.244569935
Hieracium.tenuiflorum,3-H,3,4,2,27.92,1.32,70.76,R/CR,3,2.3,0.1,3,47.4,0.3,3,20.9,0.7,15,816,103,15,21,3,15,128,19,15,39,1,15,17,0.05,15,1,0,5,125,17,forb,0.075306557,0.010962347,0.058011271,0.488869221,0.553283335,0.574895965,0.099307265,0.011391127,0.304105245
Hippocrepis.comosa,3-H,4,3,3,13.94,49.42,36.64,SR/CSR,3,2.9,0.05,3,47.2,0.1,3,16.1,0.2,10,189,8,10,12,1,10,50,3,10,17,1,10,24,2,10,2,0,5,160,25,forb,0.029862945,0.003669599,0.021516159,0.133853023,0.263523138,0.18973666,0.186016333,0.263523138,0.349385621
Homogyne.alpina,3-H,3,3,2,25.26,74.74,0,S/CS,3,2.3,0.05,3,46.3,0.2,3,20.1,0.1,5,388,41,5,40,5,5,151,20,5,10,1,5,27,0.05,5,3,0,5,36,4,forb,0.037653278,0.007481861,0.008617168,0.236285534,0.279508497,0.296167944,0.223606798,0.004140867,0.248451997
Huperzia.selago,7-Ch,3,5,3,0,93.7,6.3,S,0,NA,NA,0,NA,NA,0,NA,NA,10,4,0.05,10,0,0.05,10,1,0.05,10,12,1,10,51,4,10,1,0,6,67,9,forb,NA,NA,NA,0.039528471,NA,0.158113883,0.263523138,0.248021777,0.329035936
Hypericum.montanum,3-H,2,4,1,17.55,39.15,43.3,SR/CSR,3,2.1,0.05,3,48.2,0.05,3,23.4,0.2,10,636,109,10,21,3,10,78,11,10,30,2,10,28,1,10,1,0,5,482,25,forb,0.041239305,0.001796733,0.014803853,0.541962681,0.451753951,0.445962234,0.210818511,0.112938488,0.11597863
Juncus.jacquinii,3-H,3,5,1,12.42,87.58,0,S,3,0.9,0.1,3,46.8,0.2,3,51.8,3.4,10,131,5,10,21,1,10,76,5,10,6,0.05,10,27,0.05,10,4,0,5,356,16,graminoid,0.19245009,0.007401927,0.113686733,0.120697621,0.15058465,0.208044583,0.026352314,0.00585607,0.100497437
Juncus.trifidus,4-G,4,5,1,2.72,79.13,18.16,S/SR,3,2.6,0.05,3,44.6,0.1,3,17.2,0.1,15,54,2,15,4,0.05,15,11,1,15,14,1,15,35,1,15,1,0,1,125,NA,graminoid,0.033308669,0.003883522,0.010070063,0.143443828,0.048412292,0.352089395,0.276641668,0.110656667,NA
Juniperus.nana,8-NP,6,4,1,0,100,0,S,3,1,0.05,3,50.5,0.05,3,51.6,0.1,15,14,1,15,3,0.05,15,6,0.05,15,5,0.05,15,49,1,15,2,0,1,200,NA,shrub (sub-),0.08660254,0.001714902,0.003356688,0.276641668,0.064549722,0.032274861,0.038729833,0.079040476,NA
Leontodon.helveticus,3-H,3,5,1,22.02,14.32,63.66,R/CSR,3,3.3,0.05,3,48.2,0.2,3,14.7,0.1,6,467,32,6,16,3,6,86,7,6,36,8,6,18,2,6,2,0,6,56,7,forb,0.026243194,0.007186933,0.011782659,0.167845122,0.459279327,0.199377072,0.544331054,0.272165527,0.306186218
Leontodon.hispidus,3-H,3,4,2,46.06,0,53.94,CR,3,2.1,0.05,3,43.6,0.1,3,20.7,0.1,10,2014,96,10,72,4,10,732,33,10,28,1,10,10,0.05,10,3,0,5,208,7,forb,0.041239305,0.003972594,0.008367395,0.150734188,0.175682092,0.142561698,0.112938488,0.015811388,0.075252288
Leucanthemopsis.alpina,3-H,4,5,1,5.34,0,94.66,R,3,2.6,0.05,3,44.7,0.1,3,17.1,0.1,5,42,4,5,2,0.05,5,15,2,5,18,1,5,16,2,5,3,0,5,33,5,forb,0.033308669,0.003874834,0.010128952,0.212958855,0.055901699,0.298142397,0.124225999,0.279508497,0.338798178
Leucanthemum.heterophyllum,3-H,3,5,2,39.55,0,60.45,CR,3,2.5,0.05,3,44.6,0.1,3,17.5,0.1,10,860,22,10,38,2,10,309,14,10,24,2,10,12,0.05,10,3,0,5,322,24,forb,0.034641016,0.003883522,0.009897433,0.080895475,0.166435666,0.143274716,0.263523138,0.013176157,0.166663452
Leucorchis.albida,4-G,3,4,2,31.51,0,68.49,R/CR,3,2.9,0.05,3,44.6,0.1,3,15.5,0.2,15,666,43,15,24,2,15,184,14,15,28,1,15,13,0.05,15,2,0,1,200,NA,forb,0.029862945,0.003883522,0.022349043,0.250057483,0.322748612,0.294683515,0.138320834,0.01489609,NA
Ligusticum.mutellina,3-H,3,5,1,22.46,47.4,30.14,S/CSR,3,3.2,0.05,3,49,0.1,3,15.2,0.1,10,928,71,10,44,5,10,148,13,10,22,2,10,29,1,10,1,0,5,89,10,forb,0.027063294,0.003534798,0.011395071,0.241941502,0.359349734,0.277767632,0.287479787,0.109044057,0.251243593
Linaria.alpina,3-H,4,4,2,0,0,100,R,3,2.5,0.05,3,44.9,0.2,3,18.2,0.2,5,15,3,5,1,0.05,5,4,1,5,25,2,5,17,2,5,2,0,5,26,2,forb,0.034641016,0.007715148,0.019033525,0.447213595,0.111803399,0.559016994,0.178885438,0.263066821,0.172005229
Lloydia.serotina,4-G,3,5,1,26.53,13.4,60.07,R/CSR,3,2.5,0.05,3,43.7,0.2,3,17.6,0.2,10,158,11,10,11,1,10,64,5,10,15,1,10,17,0.05,10,3,0,1,85,NA,graminoid,0.034641016,0.007927006,0.019682396,0.220158571,0.287479787,0.247052942,0.210818511,0.009300817,NA
Loiseleuria.procumbens,7-Ch,6,5,1,0,100,0,S,3,0.9,0.05,3,55.6,0.5,3,62.9,3.2,10,11,0.05,10,3,0.05,10,6,0.05,10,4,0.05,10,44,1,10,3,0,5,7,1,shrub (sub-),0.096225045,0.015575996,0.088117052,0.014373989,0.052704628,0.026352314,0.039528471,0.071869947,0.319438282
Lotus.alpinus,3-H,3,5,1,4.49,47.01,48.5,SR,3,4.4,0.05,3,46.9,0.1,3,10.7,0.05,5,69,4,5,3,1,5,13,1,5,25,5,5,25,5,5,1,0,5,35,3,forb,0.019682396,0.003693072,0.008093695,0.129627129,0.745355992,0.172005229,0.447213595,0.447213595,0.191662969
Luzula.alpino.pilosa,3-H,4,5,1,21.44,10.95,67.61,R/CR,3,2.9,0.2,3,46.9,0.1,3,16.1,0.9,5,388,28,5,14,2,5,77,9,5,29,3,5,18,1,5,2,0,5,152,12,graminoid,0.11945178,0.003693072,0.096822716,0.16136573,0.319438282,0.261358595,0.231317377,0.124225999,0.176531682
Luzula.lutea,3-H,3,5,1,13.36,70.96,15.68,S/SR,3,2.4,0.05,3,47.5,0.1,3,19.9,0.2,5,292,44,5,22,3,5,66,9,5,13,0.05,5,33,1,5,2,0,5,79,16,graminoid,0.036084392,0.003646423,0.017407546,0.33694175,0.304918361,0.304918361,0.008600261,0.067759636,0.452874527
Luzula.spicata,3-H,3,5,1,1.2,96.66,2.14,S,3,1.6,0.1,3,46.7,0.1,3,28.9,2.1,5,33,3,5,3,0.05,5,10,1,5,10,0.05,5,33,1,5,2,0,5,35,2,graminoid,0.108253175,0.003708888,0.125858363,0.203278907,0.0372678,0.223606798,0.01118034,0.067759636,0.127775313
Luzula.sudetica,3-H,3,5,1,14.17,28.11,57.72,R/CSR,3,3.2,0.1,3,47.2,0.1,3,14.7,0.2,6,244,27,6,9,1,6,45,6,6,26,1,6,21,1,6,1,0,6,210,14,graminoid,0.054126588,0.003669599,0.023565317,0.271050094,0.272165527,0.326598632,0.094211144,0.116642369,0.163299316
Minuartia.recurva,7-Ch,4,5,1,0,61.82,38.18,SR,3,1.6,0.05,3,41.7,0.4,3,26.3,0.1,5,2,0.05,5,0,0.05,5,0,0.05,5,19,2,5,27,1,5,1,0,5,9,1,forb,0.054126588,0.016614396,0.006585745,0.055901699,NA,NA,0.235375577,0.082817332,0.248451997
Minuartia.sedoides,7-Ch,3,5,1,0,66.73,33.27,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,6,7,1,6,0,0.05,6,1,0.05,6,17,2,6,28,1,6,2,0,6,5,0.05,forb,NA,NA,NA,0.349927106,NA,0.122474487,0.288175264,0.087481777,0.024494897
Minuartia.verna,7-Ch,3,5,1,0,63.25,36.75,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,20,2,0.05,20,0,0.05,20,1,0.05,20,16,0.05,20,25,0.05,20,2,0,20,12,0.05,forb,NA,NA,NA,0.111803399,NA,0.223606798,0.013975425,0.008944272,0.0186339
Myosotis.alpestris,3-H,2,4,1,9.88,73.58,16.54,S/SR,3,1.5,0.05,3,44.8,0.2,3,30,0.9,5,123,7,5,10,2,5,37,8,5,16,5,5,27,2,5,2,1,5,45,8,forb,0.057735027,0.00773237,0.051961524,0.127255901,0.447213595,0.483474157,0.698771243,0.165634665,0.397523196
Nardus.stricta,3-H,3,3,2,6.24,93.76,0,S,3,1.8,0.05,3,47.2,0.2,3,25.6,0.4,6,113,8,6,14,1,6,35,3,6,8,0.05,6,41,0.05,6,2,0,6,254,28,graminoid,0.048112522,0.007339198,0.027063294,0.173415203,0.174963553,0.209956264,0.015309311,0.002987183,0.270022491
Nigritella.nigra,4-G,3,5,1,41.55,0,58.45,CR,3,2.8,0.05,3,43.7,0.2,3,15.7,0.1,15,331,22,15,22,1,15,154,7,15,15,1,15,15,0.05,15,4,0,1,140,NA,forb,0.030929479,0.007927006,0.011032171,0.257418833,0.176044698,0.176044698,0.25819889,0.012909944,NA
Oreochloa.disticha,3-H,3,5,1,1.65,98.35,0,S,3,2.2,0.05,3,46.9,0.1,3,21.7,0.3,10,39,2,10,5,0.05,10,13,1,10,9,0.05,10,37,1,10,2,0,5,72,2,graminoid,0.039364791,0.003693072,0.023945403,0.162168085,0.031622777,0.243252128,0.017568209,0.085466964,0.062112999
Oxyria.digyna,3-H,4,5,1,22.48,0,77.52,R/CR,3,4.7,0.1,3,45.4,0.2,3,9.6,0.1,5,354,50,5,12,2,5,124,18,5,29,3,5,10,1,5,3,0,5,76,11,forb,0.036852145,0.00763018,0.018042196,0.31582881,0.372677996,0.324590513,0.231317377,0.223606798,0.323641418
Papaver.rhaeticum,3-H,4,5,1,12.19,33.47,54.34,R/CSR,3,3.6,0.1,3,42.5,0.1,3,11.8,0.3,14,112,6,14,7,0.05,14,33,2,14,17,0.05,14,20,0.05,14,2,0,1,125,NA,forb,0.048112522,0.004075414,0.04403519,0.200445931,0.026726124,0.226767114,0.011004875,0.009354143,NA
Pedicularis.kerneri,3-H,2,5,1,19.87,76.19,3.94,S/CS,3,2.9,0.05,3,46.4,0.1,3,15.7,0.1,5,258,41,5,25,5,5,96,15,5,10,0.05,5,26,2,5,3,0,5,47,2,forb,0.029862945,0.003732868,0.011032171,0.355344136,0.447213595,0.349385621,0.01118034,0.172005229,0.095151829
Peucedanum.ostruthium,3-H,3,5,1,60.9,19.27,19.84,C/CSR,6,3.3,0.2,6,46.6,0.4,6,14.3,0.8,12,13913,2742,12,620,135,12,2546,511,12,25,2,12,23,1,12,1,0,12,691,49,forb,0.148453924,0.021025663,0.137034391,0.68271161,0.75428019,0.695269413,0.277128129,0.150613114,0.245645411
Phleum.rhaeticum,3-H,3,5,1,16.68,44.94,38.39,SR/CSR,6,2.4,0.1,6,47.8,0.1,6,20.1,1.1,18,547,80,18,21,3,18,76,12,18,25,1,18,30,1,18,1,0,12,390,38,graminoid,0.102062073,0.005124456,0.134051677,0.620495896,0.606091527,0.669890635,0.169705627,0.141421356,0.33752785
Phyteuma.betonicifolium,3-H,3,4,2,40.56,0,59.44,CR,3,3.6,0.2,3,46.6,0.4,3,12.9,0.7,10,2385,154,10,56,5,10,474,42,10,43,2,10,12,0.05,10,2,0,5,462,11,forb,0.096225045,0.014867389,0.093987253,0.204188998,0.28234622,0.280201818,0.147082682,0.013176157,0.053239714
Phyteuma.globulariifolium,3-H,3,5,1,3.44,43.02,53.53,SR,3,2.9,0.1,3,48.5,0.2,3,16.7,0.5,10,53,3,10,2,0.05,10,11,1,10,23,2,10,23,1,10,2,0,5,20,1,forb,0.05972589,0.007142478,0.051857809,0.178996849,0.079056942,0.287479787,0.274980666,0.137490333,0.111803399
Phyteuma.hemisphaericum,3-H,3,5,1,3.22,24.97,71.81,R/SR,3,2.7,0.05,3,48.9,0.05,3,17.8,0.05,5,43,11,5,2,0.05,5,11,2,5,21,3,5,20,3,5,2,0,5,74,11,forb,0.032075015,0.001771013,0.004865311,0.57201739,0.055901699,0.406557814,0.319438282,0.335410197,0.332388483
Plantago.alpina,3-H,3,5,1,16.82,37.21,45.97,SR/CSR,3,2.5,0.05,3,43.9,0.2,3,17.3,0.2,10,113,7,10,8,1,10,43,2,10,14,0.05,10,19,1,10,3,0,6,38,4,forb,0.034641016,0.007890892,0.020023709,0.195893306,0.395284708,0.147082682,0.011293849,0.166435666,0.257841026
Poa.alpina,3-H,3,4,2,16.96,51.88,31.16,S/CSR,6,2.6,0.1,6,47.1,0.3,6,18.3,0.8,12,375,23,12,21,3,12,80,12,12,21,2,12,27,1,12,1,0,12,153,11,graminoid,0.094211144,0.015601845,0.107081519,0.212464899,0.494871659,0.519615242,0.32991444,0.12830006,0.249053057
Poa.laxa,3-H,2,5,1,11.87,57.74,30.4,S/CSR,0,NA,NA,0,NA,NA,0,NA,NA,6,252,30,6,14,2,6,47,6,6,19,1,6,30,2,6,1,0,6,104,5,graminoid,NA,NA,NA,0.291605922,0.349927106,0.312700818,0.128920513,0.163299316,0.11776393
Poa.nemoralis,3-H,4,4,1,3.67,60.54,35.79,SR,3,0.8,0.05,3,44.4,0.3,3,56.6,2.5,5,91,4,5,3,0.05,5,9,1,5,29,4,5,38,3,5,1,0,1,450,NA,graminoid,0.108253175,0.011703046,0.076504011,0.098288702,0.0372678,0.248451997,0.308423169,0.176531682,NA
Polygonum.viviparum,4-G,3,6,1,16.14,61.45,22.41,S/CSR,3,2.8,0.05,3,49.7,0.1,3,17.6,0.2,10,224,25,10,17,2,10,67,8,10,14,1,10,25,0.05,10,2,0,5,92,3,forb,0.030929479,0.003485012,0.019682396,0.352932775,0.372032666,0.377585392,0.225876976,0.006324555,0.07291526
Potentilla.aurea,3-H,3,4,2,15.72,42.81,41.47,SR/CSR,3,2.4,0.1,3,46.8,0.6,3,19.3,0.4,10,492,24,10,18,1,10,66,4,10,28,1,10,28,0.05,10,1,0,5,114,12,forb,0.072168784,0.02220578,0.035897426,0.154257447,0.175682092,0.191653192,0.112938488,0.005646924,0.235375577
Potentilla.frigida,3-H,3,5,1,25.6,58.67,15.73,S/CSR,3,2,0.05,3,43.9,0.2,3,21.5,0.3,12,1025,56,12,72,4,12,224,14,12,14,0.05,12,32,0.05,12,1,0,1,65,NA,forb,0.04330127,0.007890892,0.024168151,0.189258235,0.19245009,0.216506351,0.012371791,0.005412659,NA
Potentilla.grandiflora,3-H,3,4,2,22.96,58.69,18.35,S/CSR,0,NA,NA,0,NA,NA,0,NA,NA,6,1002,103,6,64,6,6,184,19,6,16,1,6,35,2,6,1,0,6,64,4,forb,NA,NA,NA,0.251793856,0.229639663,0.252936441,0.153093109,0.139970842,0.153093109
Primula.daonensis,3-H,3,4,1,27.12,0,72.88,R/CR,0,NA,NA,0,NA,NA,0,NA,NA,6,271,19,6,14,1,6,100,9,6,20,1,6,14,1,6,3,0,6,49,3,forb,NA,NA,NA,0.171735443,0.174963553,0.220454077,0.122474487,0.174963553,0.14996876
Primula.glutinosa,3-H,3,5,1,21.85,0,78.15,R/CR,3,2.7,0.05,3,47.6,0.2,3,17.7,0.2,10,133,12,10,8,1,10,58,6,10,17,1,10,14,0.05,10,4,0,5,30,3,forb,0.032075015,0.007277524,0.019571196,0.285318285,0.395284708,0.327132172,0.186016333,0.011293849,0.223606798
Primula.hirsuta,3-H,3,4,1,29.34,0,70.66,R/CR,3,3.5,0.1,3,42.6,0.2,3,12.1,0.2,5,261,58,5,15,3,5,123,30,5,18,1,5,12,1,5,4,0,5,75,8,forb,0.049487166,0.008131694,0.028628939,0.496903995,0.447213595,0.545382434,0.124225999,0.186338998,0.238513918
Pulsatilla.alpina,3-H,3,3,2,44.25,25.59,30.16,C/CSR,3,2.1,0.2,3,45.6,0.1,3,22.6,2,10,2020,204,10,112,9,10,527,55,10,18,1,10,23,2,10,2,0,5,164,15,forb,0.16495722,0.003798357,0.153278833,0.319358734,0.254111598,0.330028978,0.175682092,0.274980666,0.204518413
Pulsatilla.vernalis,3-H,3,4,1,28.94,64.26,6.8,S/CS,3,1.9,0.1,3,44,0.2,3,23.3,0.6,15,820,37,15,74,4,15,254,12,15,11,0.05,15,29,0.05,15,2,0,1,85,NA,forb,0.091160569,0.007872958,0.044602167,0.174756566,0.209350451,0.182975591,0.01760447,0.006677557,NA
Ranunculus.glacialis,3-H,2,5,1,41.35,0,58.65,CR,3,1.7,0.05,3,44.3,0.1,3,26.6,0.4,5,262,17,5,19,2,5,132,9,5,14,1,5,14,0.05,5,4,0,5,46,3,forb,0.050942671,0.003909821,0.026045877,0.14508838,0.235375577,0.15245918,0.159719141,0.007985957,0.14583052
Ranunculus.montanus,3-H,2,4,2,40.14,15.15,44.71,CR/CSR,3,2.7,0.05,3,45.8,0.1,3,17.1,0.1,10,1755,231,10,71,13,10,368,69,10,27,2,10,19,1,10,2,0,5,200,14,forb,0.032075015,0.00378177,0.010128952,0.416231419,0.579008586,0.592927061,0.23424279,0.166435666,0.156524758
Ranunculus.pyrenaeus,3-H,3,4,1,22.26,55.5,22.24,S/CSR,3,3.6,0.1,3,47.7,0.1,3,13.2,0.2,5,220,17,5,18,2,5,84,7,5,12,0.05,5,22,0.05,5,3,0,5,93,18,forb,0.048112522,0.003631134,0.026243194,0.172787071,0.248451997,0.186338998,0.00931695,0.005081973,0.43278735
Rhodiola.rosea,7-Ch,3,4,2,17.09,0,82.91,R/CR,3,2,0.05,3,45.2,0.6,3,22.7,0.2,10,148,4,10,7,0.05,10,42,1,10,21,0.05,10,16,0.05,10,2,0,1,300,NA,forb-succulent,0.04330127,0.022991825,0.01526036,0.085466964,0.022587698,0.075292325,0.007529233,0.009882118,NA
Rhododendron.ferrugineum,8-NP,6,4,1,11.68,88.32,0,S,3,1.4,0.05,3,48.5,0.2,3,35.1,0.5,15,293,12,15,44,2,15,100,5,15,7,0.05,15,44,0.05,15,2,0,1,650,NA,shrub (sub-),0.061858957,0.007142478,0.024673088,0.158620478,0.176044698,0.193649167,0.027664167,0.004401117,NA
Sagina.saginoides,3-H,2,4,1,0,77.71,22.29,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,20,5,1,20,0,0.05,20,2,0.05,20,12,0.05,20,24,1,20,3,0,20,10,0.05,forb,NA,NA,NA,0.894427191,NA,0.111803399,0.0186339,0.186338998,0.02236068
Salix.foetida,8-NP,6,4,1,6.88,89.33,3.79,S,3,2.5,0.05,3,46.9,0.05,3,18.7,0.2,11,124,6,11,12,1,11,30,2,11,11,0.05,11,39,1,11,1,0,1,650,NA,shrub (sub-),0.034641016,0.001846536,0.018524608,0.160481845,0.276385399,0.221108319,0.015075567,0.085041661,NA
Salix.helvetica,8-NP,6,4,1,10.57,58.97,30.46,S/CSR,3,3.5,0.1,3,46.9,0.2,3,13.5,0.1,14,219,16,14,12,1,14,40,3,14,18,0.05,14,30,0.05,14,1,0,1,550,NA,shrub (sub-),0.049487166,0.007386144,0.012830006,0.273363097,0.311804782,0.280624304,0.010393493,0.006236096,NA
Salix.herbacea,8-NP,6,4,2,9.85,63.11,27.04,S/SR,3,3.4,0.05,3,49.7,0.2,3,14.6,0.2,10,161,10,10,10,1,10,36,3,10,16,1,10,28,0.05,10,2,0,5,20,1,shrub (sub-),0.025471335,0.006970023,0.023726723,0.196414762,0.316227766,0.263523138,0.197642354,0.005646924,0.111803399
Salix.reticulata,8-NP,6,4,2,18.39,65.09,16.52,S/CSR,3,2.8,0.05,3,50.2,0.2,3,17.9,0.2,5,343,29,5,27,1,5,96,3,5,13,1,5,28,1,5,2,0,1,60,NA,shrub (sub-),0.030929479,0.006900601,0.019352523,0.18905531,0.082817332,0.069877124,0.172005229,0.079859571,NA
Salix.retusa,8-NP,6,4,1,1.26,72.14,26.59,S/SR,0,NA,NA,0,NA,NA,0,NA,NA,6,35,2,6,2,0.05,6,8,0.05,6,15,0.05,6,30,1,6,2,0,6,33,4,shrub (sub-),NA,NA,NA,0.139970842,0.061237244,0.015309311,0.008164966,0.081649658,0.296907848
Salix.serpyllifolia,8-NP,6,4,1,7.71,78.59,13.7,S/SR,3,3.1,0.05,3,44.7,0.2,3,14.4,0.1,15,128,5,15,10,0.05,15,31,1,15,13,0.05,15,33,1,15,2,0,1,150,NA,shrub (sub-),0.027936303,0.007749668,0.012028131,0.151288412,0.019364917,0.124934947,0.01489609,0.117363132,NA
Saxifraga.aizoides,3-H,4,4,2,0,70.01,29.99,S/SR,3,1.3,0.05,3,47.4,0.1,3,37.8,0.6,5,18,1,5,1,0.05,5,6,1,5,13,1,5,22,1,5,3,0,5,55,8,forb,0.066617339,0.003654116,0.02749287,0.124225999,0.111803399,0.372677996,0.172005229,0.101639454,0.325246251
Saxifraga.androsacea,3-H,2,4,2,0.72,0,99.28,R,0,NA,NA,0,NA,NA,0,NA,NA,6,28,3,6,1,0.05,6,7,1,6,26,1,6,15,1,6,2,0,6,25,2,forb,NA,NA,NA,0.26244533,0.122474487,0.349927106,0.094211144,0.163299316,0.195959179
Saxifraga.bryoides,7-Ch,4,5,1,0,82.35,17.65,S/SR,3,1.8,0.05,3,44,0.1,3,25.1,0.1,5,3,0.05,5,0,0.05,5,1,0.05,5,15,4,5,32,6,5,2,0,5,5,0.05,forb,0.048112522,0.003936479,0.006900601,0.0372678,NA,0.111803399,0.596284794,0.419262746,0.02236068
Saxifraga.oppositifolia,7-Ch,4,5,1,0,65.92,34.08,S/SR,3,1.8,0.05,3,46.8,0.1,3,26,0.3,10,4,0.05,10,0,0.05,10,1,0.05,10,16,1,10,26,1,10,2,0,5,6,1,forb,0.048112522,0.003700963,0.019985202,0.039528471,NA,0.158113883,0.197642354,0.121626064,0.372677996
Saxifraga.paniculata,7-Ch,4,3,2,2.18,97.82,0,S,3,1,0.05,3,33.1,0.3,3,31.6,0.6,10,79,3,10,10,1,10,55,3,10,9,0.05,10,17,0.05,10,6,0,1,275,NA,forb,0.08660254,0.015698346,0.032887041,0.120086493,0.316227766,0.172487872,0.017568209,0.009300817,NA
Saxifraga.seguieri,3-H,2,5,1,0,0,100,R,0,NA,NA,0,NA,NA,0,NA,NA,6,20,1,6,1,0.05,6,8,1,6,23,2,6,12,1,6,3,0,6,14,2,forb,NA,NA,NA,0.122474487,0.122474487,0.306186218,0.212999108,0.204124145,0.349927106
Saxifraga.stellaris,3-H,2,5,1,9.3,15.1,75.6,R/SR,3,1.6,0.05,3,41.3,0.05,3,25.8,0.1,13,67,3,13,4,0.05,13,22,1,13,18,1,13,18,1,13,3,0,1,180,NA,forb,0.054126588,0.002096914,0.006713375,0.161442594,0.045069391,0.163888694,0.200308404,0.200308404,NA
Sedum.alpestre,7-Ch,4,5,1,0,86.83,13.17,S,3,1.5,0.05,3,39.7,0.2,3,26.7,0.4,14,8,0.05,14,0,0.05,14,6,0.05,14,20,0.05,14,6,0.05,14,7,0,1,40,NA,forb-succulent,0.057735027,0.008725697,0.025948327,0.023385359,NA,0.031180478,0.009354143,0.031180478,NA
Sedum.atratum.atratum,1-T,1,5,1,1.69,96.87,1.44,S,0,NA,NA,0,NA,NA,0,NA,NA,10,71,3,10,7,0.05,10,66,4,10,11,1,10,10,0.05,10,8,1,5,15,1,forb-annual,NA,NA,NA,0.133617366,0.022587698,0.191653192,0.287479787,0.015811388,0.149071198
Sempervivum.arachnoideum,7-Ch,4,4,2,1.44,98.56,0,S,0,NA,NA,0,NA,NA,0,NA,NA,10,62,7,10,14,1,10,137,13,10,5,0.05,10,10,0.05,10,21,2,5,10,1,forb-succulent,NA,NA,NA,0.357031349,0.225876976,0.300070143,0.031622777,0.015811388,0.223606798
Sempervivum.montanum,7-Ch,4,5,1,0.01,99.99,0,S,3,0.8,0.05,3,38.1,0.1,3,45,0.5,15,25,2,15,5,0.05,15,80,2,15,5,0.05,15,7,0.05,15,31,2,1,95,NA,forb-succulent,0.108253175,0.004546065,0.019245009,0.309838668,0.038729833,0.096824584,0.038729833,0.027664167,NA
